Area,meanValue,ISO_A3,richness,NAME_LONG,INCOME_GRP,area,GNI,log_GNI,log_Richness,log_forestArea,log_import
Sri Lanka,2149.73333333333,LKA,47,Sri Lanka,4. Lower middle income,3120756.28214832,2660.41666666667,3.42511287224711,1.68124123737559,6.49425999259269,3.33258656610981
Sudan,413.076923076923,SDN,2,Sudan,4. Lower middle income,1522797.84965406,874.583333333333,2.9422974862099,0.477121254719662,6.18264254006965,2.61708102750885
Sudan (former),2384.84615384615,SDN,2,Sudan,4. Lower middle income,1522797.84965406,874.583333333333,2.9422974862099,0.477121254719662,6.18264254006965,3.37764243569232
Suriname,5715,SUR,9,Suriname,3. Upper middle income,13701540.3315971,5324.16666666667,3.72633320483959,1,7.13676942512392,3.75709222011893
Sweden,5098893.984375,SWE,259,Sweden,1. High income: OECD,20561906.7336427,50906.6666666667,4.70678319177287,2.41497334797082,7.3130634060313,6.70747606743401
Switzerland,350075.46875,CHE,240,Switzerland,1. High income: OECD,1541202.77082627,73435,4.86590901316543,2.38201704257487,6.18786006292015,5.54416291957542
Syrian Arab Republic,19737.03125,SYR,18,Syria,4. Lower middle income,59375.0033555735,1299.5652173913,3.11413213495789,1.27875360095283,4.77361096154841,4.2953038322292
Tajikistan,5711.55172413793,TJK,7,Tajikistan,5. Low income,77105.4819860561,826.666666666667,2.9178554648349,0.903089986991944,4.88709088871823,3.75683014540281
Thailand,342499.078125,THA,59,Thailand,3. Upper middle income,15191215.7135199,4692.08333333333,3.67145826588637,1.77815125038364,7.18159255930098,5.53466067489196
Timor-Leste,209.454545454545,TLS,6,Timor-Leste,4. Lower middle income,558210.623235875,1952.08333333333,3.29072077397639,0.845098040014257,5.74679887524585,2.32315831019575
Togo,1237.24444444444,TGO,31,Togo,5. Low income,999029.670257554,717.5,2.85642677247024,1.50514997831991,5.99957882127819,3.09280638813639
Trinidad and Tobago,5395.80952380952,TTO,16,Trinidad and Tobago,2. High income: nonOECD,322010.092728979,14850.8333333333,4.17178006694654,1.23044892137827,5.50787083265237,3.73213709025008
