EU753,area,id,type
Gabon,,8,Timber and diversity exposed zone
Georgia,,8,Timber and diversity exposed zone
Ghana,,8,Timber and diversity exposed zone
Guatemala,,8,Timber and diversity exposed zone
Guinea,,8,Timber and diversity exposed zone
Guinea-Bissau,,8,Timber and diversity exposed zone
Guyana,,8,Timber and diversity exposed zone
Haiti,,8,Timber and diversity exposed zone
Honduras,,8,Timber and diversity exposed zone
Iceland,,8,Timber and diversity exposed zone
India,,8,Timber and diversity exposed zone
Indonesia,,8,Timber and diversity exposed zone
Iran,,8,Timber and diversity exposed zone
Iraq,,8,Timber and diversity exposed zone
Israel,,8,Timber and diversity exposed zone
Jamaica,,8,Timber and diversity exposed zone
Japan,,8,Timber and diversity exposed zone
Jordan,,8,Timber and diversity exposed zone
Kazakhstan,,8,Timber and diversity exposed zone
Kenya,,8,Timber and diversity exposed zone
Kingdom of eSwatini,,8,Timber and diversity exposed zone
Kosovo,,8,Timber and diversity exposed zone
Kuwait,,8,Timber and diversity exposed zone
Kyrgyzstan,,8,Timber and diversity exposed zone
Lao PDR,,8,Timber and diversity exposed zone
Lebanon,,8,Timber and diversity exposed zone
Lesotho,,8,Timber and diversity exposed zone
Liberia,,8,Timber and diversity exposed zone
Libya,,8,Timber and diversity exposed zone
Madagascar,,8,Timber and diversity exposed zone
Malawi,,8,Timber and diversity exposed zone
Malaysia,,8,Timber and diversity exposed zone
Mali,,8,Timber and diversity exposed zone
Mauritania,,8,Timber and diversity exposed zone
Mexico,,8,Timber and diversity exposed zone
Moldova,,8,Timber and diversity exposed zone
Mongolia,,8,Timber and diversity exposed zone
Montenegro,,8,Timber and diversity exposed zone
Morocco,,8,Timber and diversity exposed zone
Mozambique,,8,Timber and diversity exposed zone
Myanmar,,8,Timber and diversity exposed zone
Namibia,,8,Timber and diversity exposed zone
Nepal,,8,Timber and diversity exposed zone
New Caledonia,,8,Timber and diversity exposed zone
New Zealand,,8,Timber and diversity exposed zone
Nicaragua,,8,Timber and diversity exposed zone
Niger,,8,Timber and diversity exposed zone
Nigeria,,8,Timber and diversity exposed zone
North Macedonia,,8,Timber and diversity exposed zone
Northern Cyprus,,8,Timber and diversity exposed zone
Norway,158917.806037637,8,Timber and diversity exposed zone
Oman,,8,Timber and diversity exposed zone
Pakistan,,8,Timber and diversity exposed zone
Palestine,,8,Timber and diversity exposed zone
Panama,,8,Timber and diversity exposed zone
Papua New Guinea,,8,Timber and diversity exposed zone
Paraguay,,8,Timber and diversity exposed zone
Peru,,8,Timber and diversity exposed zone
Philippines,,8,Timber and diversity exposed zone
Puerto Rico,,8,Timber and diversity exposed zone
Qatar,,8,Timber and diversity exposed zone
Republic of Korea,,8,Timber and diversity exposed zone
Republic of the Congo,,8,Timber and diversity exposed zone
Russian Federation,15803.6378217888,8,Timber and diversity exposed zone
Rwanda,,8,Timber and diversity exposed zone
Saudi Arabia,,8,Timber and diversity exposed zone
Senegal,,8,Timber and diversity exposed zone
Serbia,,8,Timber and diversity exposed zone
Sierra Leone,,8,Timber and diversity exposed zone
Solomon Islands,,8,Timber and diversity exposed zone
Somalia,,8,Timber and diversity exposed zone
Somaliland,,8,Timber and diversity exposed zone
South Africa,,8,Timber and diversity exposed zone
South Sudan,,8,Timber and diversity exposed zone
Sri Lanka,,8,Timber and diversity exposed zone
Sudan,,8,Timber and diversity exposed zone
Suriname,,8,Timber and diversity exposed zone
Switzerland,,8,Timber and diversity exposed zone
Syria,,8,Timber and diversity exposed zone
Tajikistan,,8,Timber and diversity exposed zone
Tanzania,,8,Timber and diversity exposed zone
Thailand,,8,Timber and diversity exposed zone
The Gambia,,8,Timber and diversity exposed zone
Timor-Leste,,8,Timber and diversity exposed zone
Togo,,8,Timber and diversity exposed zone
Trinidad and Tobago,,8,Timber and diversity exposed zone
Tunisia,,8,Timber and diversity exposed zone
Turkey,,8,Timber and diversity exposed zone
Turkmenistan,,8,Timber and diversity exposed zone
Uganda,,8,Timber and diversity exposed zone
Ukraine,,8,Timber and diversity exposed zone
United Arab Emirates,,8,Timber and diversity exposed zone
United Kingdom,,8,Timber and diversity exposed zone
United States,139738.112867457,8,Timber and diversity exposed zone
Uruguay,,8,Timber and diversity exposed zone
Uzbekistan,,8,Timber and diversity exposed zone
Vanuatu,,8,Timber and diversity exposed zone
Venezuela,,8,Timber and diversity exposed zone
Vietnam,,8,Timber and diversity exposed zone
Western Sahara,,8,Timber and diversity exposed zone
Yemen,,8,Timber and diversity exposed zone
Zambia,,8,Timber and diversity exposed zone
Zimbabwe,,8,Timber and diversity exposed zone
Afghanistan,,10,Timber and carbon exposed zone
Albania,,10,Timber and carbon exposed zone
Algeria,,10,Timber and carbon exposed zone
Angola,,10,Timber and carbon exposed zone
Argentina,9461.13995190964,10,Timber and carbon exposed zone
Armenia,,10,Timber and carbon exposed zone
Australia,,10,Timber and carbon exposed zone
Azerbaijan,,10,Timber and carbon exposed zone
Bahamas,,10,Timber and carbon exposed zone
Bangladesh,,10,Timber and carbon exposed zone
Belarus,43857.5618642212,10,Timber and carbon exposed zone
Belize,,10,Timber and carbon exposed zone
Benin,,10,Timber and carbon exposed zone
Bhutan,,10,Timber and carbon exposed zone
Bolivia,,10,Timber and carbon exposed zone
Bosnia and Herzegovina,17912.2204362503,10,Timber and carbon exposed zone
Botswana,,10,Timber and carbon exposed zone
Brazil,,10,Timber and carbon exposed zone
Brunei Darussalam,,10,Timber and carbon exposed zone
Burkina Faso,,10,Timber and carbon exposed zone
Burundi,,10,Timber and carbon exposed zone
Cambodia,,10,Timber and carbon exposed zone
Cameroon,,10,Timber and carbon exposed zone
Canada,201184.794805344,10,Timber and carbon exposed zone
Central African Republic,,10,Timber and carbon exposed zone
Chad,,10,Timber and carbon exposed zone
Chile,,10,Timber and carbon exposed zone
China,,10,Timber and carbon exposed zone
Colombia,,10,Timber and carbon exposed zone
Costa Rica,,10,Timber and carbon exposed zone
Cote d'Ivoire,,10,Timber and carbon exposed zone
Cuba,,10,Timber and carbon exposed zone
Dem. Rep. Korea,,10,Timber and carbon exposed zone
Democratic Republic of the Congo,,10,Timber and carbon exposed zone
Djibouti,,10,Timber and carbon exposed zone
Dominican Republic,,10,Timber and carbon exposed zone
Ecuador,,10,Timber and carbon exposed zone
Egypt,,10,Timber and carbon exposed zone
El Salvador,,10,Timber and carbon exposed zone
Equatorial Guinea,,10,Timber and carbon exposed zone
Eritrea,,10,Timber and carbon exposed zone
Ethiopia,,10,Timber and carbon exposed zone
EU,31469771.136533,10,Timber and carbon exposed zone
Fiji,,10,Timber and carbon exposed zone
Franch_GYN,,10,Timber and carbon exposed zone
Gabon,,10,Timber and carbon exposed zone
Georgia,,10,Timber and carbon exposed zone
Ghana,,10,Timber and carbon exposed zone
Guatemala,,10,Timber and carbon exposed zone
Guinea,,10,Timber and carbon exposed zone
Guinea-Bissau,,10,Timber and carbon exposed zone
Guyana,,10,Timber and carbon exposed zone
Haiti,,10,Timber and carbon exposed zone
Honduras,,10,Timber and carbon exposed zone
Iceland,,10,Timber and carbon exposed zone
India,,10,Timber and carbon exposed zone
Indonesia,,10,Timber and carbon exposed zone
Iran,,10,Timber and carbon exposed zone
Iraq,,10,Timber and carbon exposed zone
Israel,10393.0918479866,10,Timber and carbon exposed zone
Jamaica,,10,Timber and carbon exposed zone
Japan,,10,Timber and carbon exposed zone
Jordan,,10,Timber and carbon exposed zone
Kazakhstan,,10,Timber and carbon exposed zone
Kenya,,10,Timber and carbon exposed zone
Kingdom of eSwatini,,10,Timber and carbon exposed zone
Kosovo,,10,Timber and carbon exposed zone
Kuwait,,10,Timber and carbon exposed zone
Kyrgyzstan,,10,Timber and carbon exposed zone
Lao PDR,,10,Timber and carbon exposed zone
Lebanon,,10,Timber and carbon exposed zone
Lesotho,,10,Timber and carbon exposed zone
Liberia,,10,Timber and carbon exposed zone
Libya,,10,Timber and carbon exposed zone
Madagascar,,10,Timber and carbon exposed zone
Malawi,,10,Timber and carbon exposed zone
Malaysia,,10,Timber and carbon exposed zone
Mali,,10,Timber and carbon exposed zone
Mauritania,,10,Timber and carbon exposed zone
Mexico,,10,Timber and carbon exposed zone
Moldova,,10,Timber and carbon exposed zone
Mongolia,,10,Timber and carbon exposed zone
Montenegro,,10,Timber and carbon exposed zone
Morocco,,10,Timber and carbon exposed zone
Mozambique,,10,Timber and carbon exposed zone
Myanmar,,10,Timber and carbon exposed zone
Namibia,,10,Timber and carbon exposed zone
Nepal,,10,Timber and carbon exposed zone
New Caledonia,,10,Timber and carbon exposed zone
New Zealand,,10,Timber and carbon exposed zone
Nicaragua,,10,Timber and carbon exposed zone
Niger,,10,Timber and carbon exposed zone
Nigeria,,10,Timber and carbon exposed zone
