type,ISO_A3,pestCount,totalRecords,global_type_count,SRR,SRR_scaled
Plants,HND,15,102342876,1097756,0.47516449648996,-0.322242989345492
Plants,HRV,79,535730965,1097756,0.478069110723151,-0.319601830550667
Plants,HTI,8,83837,1097756,309.360313585486,2.49046600313573
Plants,HUN,1578,2769255156,1097756,1.8473720448805,0.266789391546544
Plants,IDN,79,6331805799,1097756,0.040449191613687,-1.38248393510499
Plants,IND,234,68505002593,1097756,0.0110739845139712,-1.918149385506
Plants,IRL,7,9522948755,1097756,0.00238307073971103,-2.47068892105773
Plants,IRN,0,13576278792,1097756,0,-3
Plants,IRQ,0,3522288,1097756,0,-3
Plants,ISL,3858,7815003,1097756,1600.45480906463,3.20424368713724
Plants,ISR,180,2151305241,1097756,0.27125691073724,-0.565021087671516
Plants,ITA,2227,33447367733,1097756,0.215858230981325,-0.663824089300648
Plants,JAM,1,974635,1097756,3.32635302062649,0.522098880453044
Plants,JOR,0,71179849,1097756,0,-3
Plants,JPN,23,19546490961,1097756,0.00381477892388548,-2.31742364921252
Plants,KAZ,0,6095306838,1097756,0,-3
Plants,KEN,41,3227245884,1097756,0.0411871880557924,-1.37481942111139
Plants,KGZ,0,117557257,1097756,0,-3
Plants,KHM,7,472366,1097756,48.0429593446778,1.68163879079352
Plants,KOR,4,11908952612,1097756,0.00108892198395064,-2.68007777953737
Plants,KWT,0,21327532,1097756,0,-3
