ISO_A3,NAME_LONG.x,INCOME_GRP.x,CONTINENT,SUBREGION,Area,meanValue,richness,NAME_LONG.y,INCOME_GRP.y,area,GNI,total_richness,total_records,log10_total_richness,log10_total_records,richness_for_model,log_Richness,log_GNI,log_forestArea,log_import,Residuals,Std_Residuals
BDI,Burundi,5. Low income,Africa,Eastern Africa,Burundi,343.285714285714,6,Burundi,5. Low income,573868.312215195,202.916666666667,6,13,0.845098040014257,1.14612803567824,6,0.845098040014257,2.30945272330416,5.75881300137713,2.53691900256061,0.233945069600858,0.74512310915701
ISR,Israel,1. High income: OECD,Asia,Western Asia,Israel,112789.109375,54,Israel,1. High income: OECD,23677.7463232349,33327.9166666667,66,3583,1.82607480270083,3.55436800099009,66,1.82607480270083,4.52282119744886,4.37435870483659,5.05227101780167,0.411242437528607,1.30982133622832
LBN,Lebanon,3. Upper middle income,Asia,Western Asia,Lebanon,21789.671875,5,Lebanon,3. Upper middle income,54306.2680638914,6082.08333333333,7,15,0.903089986991944,1.20411998265592,7,0.903089986991944,3.78412376598765,4.73485795608633,4.33827062111852,-0.244782141987574,-0.779639558188085
MDG,Madagascar,5. Low income,Africa,Eastern Africa,Madagascar,2047.8,17,Madagascar,5. Low income,15011691.8053674,416.666666666667,21,244,1.34242268082221,2.38916608436453,21,1.34242268082221,2.62082981627449,7.1764296685642,3.31149956546037,0.182385476429254,0.580904028000725
PSE,Palestine,4. Lower middle income,Asia,Western Asia,Palestine,850.636363636364,13,Palestine,4. Lower middle income,254.082933408909,2883.75,16,120,1.23044892137827,2.08278537031645,16,1.23044892137827,3.46010818202382,2.40668140265416,2.93025419690608,0.955988274244492,3.04485559981252
GMB,The Gambia,5. Low income,Africa,Western Africa,Gambia,243.257142857143,8,The Gambia,5. Low income,124149.759562976,645,11,83,1.07918124604762,1.92427928606188,11,1.07918124604762,2.81023251799508,5.09394938094254,2.38784727273097,0.499582325675228,1.59118692444396
TUN,Tunisia,3. Upper middle income,Africa,Northern Africa,Tunisia,30910.53125,7,Tunisia,3. Upper middle income,210678.466017495,3517.08333333333,4,6,0.698970004336019,0.845098040014257,4,0.698970004336019,3.54630612243759,5.32362220893573,4.49012051903787,-0.539539100080746,-1.71845062796086
DZA,Algeria,3. Upper middle income,Africa,Northern Africa,Algeria,62145.421875,28,Algeria,3. Upper middle income,894768.183292135,4060,32,127,1.51851393987789,2.10720996964787,32,1.51851393987789,3.60863298949004,5.95171101816415,4.79341612887988,0.0660316456802164,0.210313067148377
JOR,Jordan,3. Upper middle income,Asia,Western Asia,Jordan,5672.84090909091,11,Jordan,3. Upper middle income,2190.07366768017,3261.25,7,10,0.903089986991944,1.04139268515822,7,0.903089986991944,3.51351723980056,3.34065697953658,3.75387715428807,0.251310407222003,0.800432307944166
ARE,United Arab Emirates,2. High income: nonOECD,Asia,Western Asia,,,,,,,,,,,,,,,,,,
QAT,Qatar,2. High income: nonOECD,Asia,Western Asia,,,,,,,,,,,,,,,,,,
KWT,Kuwait,2. High income: nonOECD,Asia,Western Asia,,,,,,,,,,,,,,,,,,
IRQ,Iraq,4. Lower middle income,Asia,Western Asia,Iraq,8843.08571428572,10,Iraq,4. Lower middle income,22233.0450174457,3930,12,28,1.11394335230684,1.46239799789896,12,1.11394335230684,3.59450304382009,4.34701848064529,3.94665294298186,0.180122473211442,0.57369628476183
OMN,Oman,2. High income: nonOECD,Asia,Western Asia,Oman,20974.6136363636,8,Oman,2. High income: nonOECD,2278.29081197855,17095.4166666667,11,17,1.07918124604762,1.25527250510331,11,1.07918124604762,4.2329050937272,3.3577997398272,4.32171467486371,0.110129794261539,0.350767190139916
VUT,Vanuatu,4. Lower middle income,Oceania,Melanesia,Vanuatu,260.935483870968,12,Vanuatu,4. Lower middle income,488342.185690196,2605,5,10,0.778151250383644,1.04139268515822,5,0.778151250383644,3.41597441137657,5.68872513197946,2.4181943354069,-0.112259102222078,-0.357549109376839
KHM,Cambodia,5. Low income,Asia,South-Eastern Asia,Cambodia,7922.08,26,Cambodia,5. Low income,7237549.10089898,1174.58333333333,22,2740,1.36172783601759,3.4379090355395,22,1.36172783601759,3.07025342029554,6.85959158308695,3.89889404105635,0.0319178453920268,0.101659437562315
THA,Thailand,3. Upper middle income,Asia,South-Eastern Asia,Thailand,342499.078125,59,Thailand,3. Upper middle income,15191215.7135199,4692.08333333333,55,1318,1.7481880270062,3.12024479554637,55,1.7481880270062,3.67145826588637,7.18159255930098,5.53466067489196,-0.134145205856896,-0.427257103717271
LAO,Lao PDR,4. Lower middle income,Asia,South-Eastern Asia,Lao People's Democratic Republic,210.870967741936,24,Lao PDR,4. Lower middle income,15764146.7054845,1346.25,20,63,1.32221929473392,1.80617997398389,20,1.32221929473392,3.12944819226806,7.19767049542576,2.32607145027711,0.197863290086353,0.630201397912421
MMR,Myanmar,5. Low income,Asia,South-Eastern Asia,Myanmar,97.8387096774194,28,Myanmar,5. Low income,34033237.0119715,837.916666666667,28,92,1.46239799789896,1.96848294855394,28,1.46239799789896,2.92371882256376,7.53190327098333,1.99492706712629,0.385706515053936,1.2284885430988
VNM,Vietnam,4. Lower middle income,Asia,South-Eastern Asia,Viet Nam,590462.578947369,43,Vietnam,4. Lower middle income,13711141.4044574,1886.66666666667,44,432,1.65321251377534,2.63648789635337,44,1.65321251377534,3.27592530690687,7.13707364146219,5.77119311456596,-0.150591029103785,-0.47963761753308
PRK,Dem. Rep. Korea,5. Low income,Asia,Eastern Asia,,,,,,,,,,,,,,,,,,
